성별,나이,알콜농도
남자,31,0.119
남자,60,0.151
남자,40,0.136
남자,38,0.17
남자,36,0.0
남자,63,0.098
남자,51,0.159
남자,48,0.048
남자,25,0.213
남자,49,0.08
남자,45,0.047
남자,44,0.092
남자,56,0.128
남자,34,0.163
남자,21,0.138
남자,25,0.186
남자,52,0.111
남자,63,0.111
남자,48,0.188
남자,30,0.153
남자,18,0.186
남자,57,0.047
남자,49,0.0
남자,28,0.076
남자,59,0.08
남자,58,0.17
남자,49,0.155
남자,43,0.04
남자,23,0.107
남자,30,0.118
남자,41,0.124
남자,54,0.149
남자,36,0.153
남자,46,0.093
남자,31,0.13
남자,56,0.039
남자,54,0.076
남자,32,0.106
남자,39,0.071
남자,51,0.032
남자,26,0.226
남자,56,0.063
남자,54,0.188
남자,25,0.158
남자,26,0.172
남자,48,0.092
남자,67,0.094
남자,24,0.076
남자,39,0.186
남자,71,0.167
남자,33,0.075
남자,47,0.199
남자,45,0.236
남자,30,0.149
남자,55,0.049
남자,30,0.134
남자,37,0.107
남자,56,0.145
남자,52,0.115
남자,34,0.121
남자,49,0.07
남자,22,0.155
남자,51,0.137
남자,55,0.131
남자,44,0.121
남자,42,0.082
남자,31,0.07
남자,51,0.063
남자,42,0.183
남자,26,0.111
남자,63,0.041
남자,47,0.086
남자,25,0.16
남자,36,0.139
남자,42,0.075
남자,29,0.045
남자,48,0.128
남자,31,0.073
남자,25,0.103
남자,25,0.032
남자,55,0.073
남자,65,0.119
남자,39,0.114
남자,31,0.145
남자,61,0.128
남자,66,0.203
남자,70,0.055
남자,26,0.107
남자,58,0.142
남자,54,0.11
남자,35,0.103
남자,64,0.151
남자,71,0.102
남자,25,0.143
남자,36,0.0
남자,24,0.056
남자,45,0.115
남자,35,0.146
남자,30,0.0
남자,29,0.058
남자,48,0.119
남자,30,0.148
남자,59,0.121
남자,53,0.125
남자,25,0.175
남자,59,0.252
남자,25,0.174
남자,48,0.039
남자,39,0.159
남자,56,0.27
남자,53,0.164
남자,65,0.064
남자,53,0.192
남자,39,0.151
남자,66,0.074
남자,43,0.064
남자,54,0.186
남자,20,0.095
남자,66,0.036
남자,45,0.091
남자,45,0.0
남자,54,0.085
남자,34,0.125
남자,61,0.102
남자,39,0.035
남자,56,0.16
남자,62,0.031
남자,26,0.092
남자,33,0.041
남자,28,0.036
남자,20,0.16
남자,52,0.176
남자,59,0.062
남자,46,0.088
남자,34,0.119
남자,31,0.081
남자,42,0.147
남자,43,0.135
남자,57,0.125
남자,66,0.095
남자,50,0.042
남자,43,0.044
남자,43,0.138
남자,60,0.15
남자,26,0.184
남자,53,0.129
남자,61,0.137
남자,61,0.109
남자,65,0.078
남자,56,0.113
남자,50,0.125
남자,64,0.051
남자,58,0.179
남자,37,0.141
남자,36,0.243
남자,22,0.14
남자,35,0.106
남자,55,0.055
남자,34,0.043
남자,40,0.062
남자,54,0.081
남자,26,0.091
남자,28,0.097
남자,37,0.076
남자,63,0.195
남자,54,0.118
남자,35,0.063
남자,39,0.047
남자,67,0.079
남자,45,0.163
남자,31,0.113
남자,62,0.047
남자,44,0.084
남자,52,0.115
남자,28,0.092
남자,43,0.075
남자,33,0.181
남자,41,0.159
남자,30,0.077
남자,23,0.126
남자,48,0.085
남자,49,0.069
남자,35,0.078
남자,46,0.057
남자,44,0.112
남자,49,0.058
남자,58,0.046
남자,52,0.051
남자,33,0.097
남자,46,0.195
남자,35,0.116
남자,35,0.121
남자,25,0.133
남자,53,0.138
남자,47,0.049
남자,49,0.039
남자,49,0.145
남자,58,0.187
남자,62,0.156
남자,30,0.05
남자,51,0.198
남자,42,0.068
남자,58,0.182
남자,53,0.156
남자,69,0.156
남자,39,0.066
남자,60,0.123
남자,50,0.101
남자,65,0.18
남자,79,0.132
남자,40,0.0
남자,48,0.16
남자,55,0.188
남자,46,0.075
남자,37,0.099
남자,60,0.03
남자,56,0.123
남자,42,0.063
남자,63,0.135
남자,33,0.198
남자,38,0.197
남자,48,0.0
남자,24,0.159
남자,34,0.179
남자,22,0.123
남자,39,0.151
남자,57,0.188
남자,54,0.055
남자,50,0.249
남자,44,0.08
남자,43,0.137
남자,30,0.079
남자,43,0.074
남자,43,0.047
남자,54,0.119
남자,27,0.147
남자,49,0.125
남자,41,0.109
남자,57,0.036
남자,67,0.131
남자,26,0.0
남자,65,0.138
남자,52,0.221
남자,28,0.162
남자,23,0.243
남자,27,0.139
남자,48,0.145
남자,49,0.103
남자,43,0.112
남자,21,0.097
남자,43,0.159
남자,56,0.196
남자,33,0.194
남자,23,0.163
남자,29,0.142
남자,50,0.141
남자,71,0.049
남자,27,0.076
남자,54,0.185
남자,44,0.074
남자,50,0.038
남자,38,0.088
남자,52,0.033
남자,26,0.061
남자,50,0.126
남자,17,0.057
남자,38,0.114
남자,31,0.132
남자,60,0.287
남자,66,0.093
남자,50,0.107
남자,66,0.156
남자,67,0.087
남자,25,0.157
남자,28,0.069
남자,42,0.151
남자,55,0.228
남자,56,0.19
남자,35,0.146
남자,85,0.108
남자,40,0.075
남자,25,0.049
남자,36,0.153
남자,50,0.176
남자,27,0.147
남자,37,0.057
남자,55,0.17
남자,46,0.07
남자,41,0.195
남자,43,0.092
남자,20,0.0
남자,27,0.116
남자,61,0.079
남자,50,0.094
남자,36,0.176
남자,29,0.076
남자,57,0.047
남자,28,0.169
남자,39,0.135
여자,23,0.114
여자,35,0.124
여자,56,0.099
여자,43,0.049
여자,41,0.21
여자,51,0.126
여자,44,0.156
여자,34,0.074
여자,38,0.186
여자,56,0.08
여자,23,0.059
여자,49,0.035
여자,41,0.143
여자,46,0.266
여자,58,0.122
여자,50,0.191
여자,49,0.041
여자,40,0.159
여자,26,0.104
여자,52,0.095
여자,61,0.093
여자,47,0.079
여자,55,0.036
여자,43,0.059
여자,23,0.113
여자,37,0.182
여자,59,0.114
여자,34,0.195
여자,48,0.184
여자,51,0.158
여자,50,0.122
여자,38,0.156
여자,39,0.171
여자,29,0.059
여자,38,0.059
여자,47,0.066
여자,28,0.196
여자,46,0.133
여자,29,0.128
여자,50,0.148
여자,49,0.12
여자,43,0.241
여자,59,0.0
여자,33,0.051
